::1 - - [14/Dec/2015:08:59:05 +0000] "GET /api/game/2015/12/14/past HTTP/1.1" 500 1552 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:08:59:10 +0000] "GET /api/game/2015/12/14/past HTTP/1.1" 500 1552 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:10:23:53 +0000] "GET /api/game/56699d1c1d6979315414f45b/565d706d9b971a0d10f9a5ec HTTP/1.1" 404 1523 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:10:23:53 +0000] "GET /favicon.ico HTTP/1.1" 404 1523 "http://localhost:3000/api/game/56699d1c1d6979315414f45b/565d706d9b971a0d10f9a5ec" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:10:24:00 +0000] "GET /api/game/56699d1c1d6979315414f45b/565d706d9b971a0d10f9a5ec HTTP/1.1" 500 1584 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:10:25:08 +0000] "GET /api/game/56699d1c1d6979315414f45b/565d706d9b971a0d10f9a5ec HTTP/1.1" 500 1584 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:10:25:12 +0000] "GET /api/game/56699d1c1d6979315414f45b/565d706d9b971a0d10f9a5ec HTTP/1.1" 500 1584 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:10:37:59 +0000] "GET /api/game/56699d1c1d6979315414f45b/565d706d9b971a0d10f9a5ec HTTP/1.1" 500 1584 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:10:44:47 +0000] "GET /api/game/56699d1c1d6979315414f45b/565d706d9b971a0d10f9a5ec HTTP/1.1" 500 1584 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:10:45:25 +0000] "GET /api/game/56699d1c1d6979315414f45b/565d706d9b971a0d10f9a5ec HTTP/1.1" 500 1594 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:10:57:39 +0000] "GET /api/game/56699d1c1d6979315414f45b/565d706d9b971a0d10f9a5ec HTTP/1.1" 500 1594 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:11:02:27 +0000] "GET /api/game/56699d1c1d6979315414f45b/565d706d9b971a0d10f9a5ec HTTP/1.1" 500 1560 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
